,Unnamed: 0,Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,Major
0,1921,ECE,ECE 100 ,"Abd El-Messih, Andrew Saad",WI19,43,40,76.9,74.4,9.0,3.16,2.79,sip
1,1922,ECE,ECE 100 ,"Coles, William A.",FA09,57,39,68.4,47.4,7.22,3.11,2.18,sip
2,1923,ECE,ECE 100 ,"Cruz, Rene L",WI13,77,38,80.0,31.4,10.03,3.0,2.68,sip
3,1924,ECE,ECE 100 ,"Kante, Boubacar",WI14,52,24,63.6,22.7,8.05,3.1,2.54,sip
4,1925,ECE,ECE 100 ,"Kante, Boubacar",WI15,101,75,90.5,89.2,9.05,3.2,2.65,sip
5,1926,ECE,ECE 100 ,"Kante, Boubacar",WI16,86,73,88.9,83.3,8.56,3.03,2.45,sip
6,1927,ECE,ECE 100 ,"Kante, Boubacar",WI17,40,33,93.9,100.0,8.02,2.97,2.95,sip
7,1928,ECE,ECE 100 ,"Kante, Boubacar",WI18,53,38,83.8,91.9,9.36,3.11,3.19,sip
8,1929,ECE,ECE 100 ,"Larson, Lawrence E.",FA10,79,39,97.4,100.0,7.55,3.55,2.94,sip
9,1930,ECE,ECE 100 ,"Larson, Lawrence E.",WI10,70,35,94.3,100.0,8.09,3.43,2.47,sip
10,1931,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA11,95,62,90.3,77.4,12.92,3.2,2.68,sip
11,1932,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA12,91,45,87.8,85.4,9.67,3.32,2.47,sip
12,1933,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA13,141,128,95.3,85.0,10.29,3.13,2.49,sip
13,1934,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA14,227,61,100.0,78.2,9.34,3.09,2.43,sip
14,1935,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA15,244,195,94.8,86.5,9.21,3.13,3.09,sip
15,1936,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA17,133,62,96.6,96.4,9.14,3.1,2.72,sip
16,1937,ECE,ECE 100 ,"Sievenpiper, Daniel F.",FA18,142,100,98.0,96.0,9.77,3.11,2.57,sip
17,1938,ECE,ECE 101 ,"Alcantara, Eldridge Escubido",S115,77,75,97.3,96.0,11.17,3.44,3.19,sip
18,1939,ECE,ECE 101 ,"Baghdadchi, Saharnaz",S216,72,54,98.1,98.1,10.58,3.2,2.77,sip
19,1940,ECE,ECE 101 ,"Baghdadchi, Saharnaz",S218,50,42,82.9,90.2,9.26,3.12,2.63,sip
20,1941,ECE,ECE 101 ,"Baghdadchi, Saharnaz",SP19,113,99,83.3,84.2,6.99,3.14,2.87,sip
21,1942,ECE,ECE 101 ,"Baghdadchi, Saharnaz",WI18,87,72,94.4,93.0,6.94,3.24,2.64,sip
22,1943,ECE,ECE 101 ,"Chan, Ho",S211,50,18,94.4,88.9,9.39,3.35,3.09,sip
23,1944,ECE,ECE 101 ,"Connelly, Joseph Michael",S117,95,76,82.9,93.3,11.37,2.85,2.51,sip
24,1945,ECE,ECE 101 ,"Quest, Kevin B",FA11,89,37,83.8,86.5,8.83,3.17,2.62,sip
25,1946,ECE,ECE 101 ,"Quest, Kevin B",FA12,95,20,94.1,100.0,9.44,3.47,2.39,sip
26,1947,ECE,ECE 101 ,"Quest, Kevin B",FA15,211,75,75.0,69.1,8.87,2.84,2.35,sip
27,1948,ECE,ECE 101 ,"Quest, Kevin B",S112,37,10,90.0,100.0,12.9,3.3,2.55,sip
28,1949,ECE,ECE 101 ,"Quest, Kevin B",S113,86,22,86.4,90.9,9.95,3.09,2.54,sip
29,1950,ECE,ECE 101 ,"Quest, Kevin B",S114,82,14,90.9,81.8,14.14,3.1,2.61,sip
30,1951,ECE,ECE 101 ,"Quest, Kevin B",S116,52,6,80.0,80.0,9.3,2.75,2.24,sip
31,1952,ECE,ECE 101 ,"Quest, Kevin B",S215,77,12,90.9,100.0,9.23,3.7,2.67,sip
32,1953,ECE,ECE 101 ,"Quest, Kevin B",WI09,52,18,88.9,77.8,6.06,3.44,2.45,sip
33,1954,ECE,ECE 101 ,"Quest, Kevin B",WI10,53,21,85.7,75.0,6.79,3.4,2.39,sip
34,1955,ECE,ECE 101 ,"Quest, Kevin B",WI11,70,25,84.0,92.0,7.94,2.96,2.59,sip
35,1956,ECE,ECE 101 ,"Quest, Kevin B",WI15,138,53,84.6,82.7,8.54,2.92,2.71,sip
36,1957,ECE,ECE 101 ,"Quest, Kevin B",WI17,105,38,77.4,87.1,7.81,2.94,2.38,sip
37,1958,ECE,ECE 101 ,"Siegel, Paul H.",FA08,108,66,90.6,91.9,9.41,3.08,2.65,sip
38,1959,ECE,ECE 101 ,"Siegel, Paul H.",FA09,56,28,78.6,100.0,7.93,3.15,2.79,sip
39,1960,ECE,ECE 101 ,"Siegel, Paul H.",FA10,108,42,92.9,92.9,7.07,3.25,2.53,sip
40,1961,ECE,ECE 101 ,"Siegel, Paul H.",FA13,158,89,94.2,96.5,8.59,3.3,2.52,sip
